MANDT,SPRAS,AUGRU,BEZEI
500,E,,
500,E,001,Sales call
500,E,002,Trade fair sales activity
500,E,003,Television commercial
500,E,004,Customer recommendation
500,E,005,Newspaper advertisement
500,E,006,Excellent price
500,E,007,Fast delivery
500,E,008,Good service
500,E,100,Price difference: price was too high
500,E,101,Poor quality
500,E,102,Damaged in transit
500,E,103,Quantity discrepancy
500,E,104,Material ruined
500,E,105,Free of charge sample
500,E,111,Price diff. Misc.sls: price was too high
500,E,200,Price difference: price was too low
500,E,222,Price diff. Misc.sls: price was too low
500,E,300,Tax Only Credit
500,E,E01,Fuel and Oil
500,E,E02,Tyres
500,E,E03,Casual Labour
500,E,E04,Sleepout - Salesman
500,E,E05,Petty Cash Reimbursement
500,E,E06,Sleep out – V. Assistant
500,E,E07,Toll fees
500,E,E08,Telephone
500,E,E09,Repairs and Maintenance
500,E,E10,Pad Locks
500,E,E11,PDP
500,E,EDI,Self-billing proced.
500,E,QBI,SBWAP: Difference Clearing (Qty/Value)
500,E,QOI,SBWAP: New Open Items (Quantity(Value)
500,E,VBI,SBWAP: Difference Clearing (Value)
500,E,VOI,SBWAP: New Open Items (Value)
500,E,Y01,Goods Invoiced to 3PLs/Missing Goods
500,E,Y02,Pallets
500,E,Y03,Transport Delay
500,E,Y04,Carrier didn't arrived
500,E,Y81,Gross / Net weight differencie in docs
500,E,Y82,Error in ship via
500,E,Y83,Corresponde a Factura Tradicional
500,E,YC1,Cust_Customer's carrier issues(ex.works)
500,E,YC2,Cust_Customer Cancelled Product
500,E,YC3,Cust_Customer Cancelled Order
500,E,YC4,Cust_Customer Requested Change
500,E,YC5,Cust_Customer Ordering error
500,E,YC6,Cust_Customer Refusal - Master Data
500,E,YC7,Cust_Customer Line Cancelled
500,E,YC8,Cust_Customer Delisted SKU
500,E,YD1,DP_New product launch
500,E,YD2,DP_Promo FC Error
500,E,YD3,DP_Base FC Error
500,E,YD4,DP_Product changeover
500,E,YE1,FM_Operational Incident
500,E,YE2,FM_National Incident
500,E,YE3,FM_Environmental Incident
500,E,YF1,FG_Insufficient production capacity
500,E,YF2,FG_Inventory below defined parameters
500,E,YF3,FG_Scheduling error
500,E,YF4,FG_Outside production cycle window
500,E,YF5,FG_Co-man production vol below agreement
500,E,YF7,FG_Display preparation not on time
500,E,YI1,IT_IT Systems Failure
500,E,YK1,KAM_Admin Error (Pricing/Promo/NPD)
500,E,YK2,KAM_Business intelligence/Comm. factors
500,E,YK3,KAM_Sales Order entry error
500,E,YK4,KAM_Credit related
500,E,YK5,KAM_Master Data Issues
500,E,YK6,KAM_Customer refused delivery
500,E,YK7,KAM_No unloading-waiting time over 3 h
500,E,YL0,Distr_refusal bad condition DLV vehicle
500,E,YL1,Distr_Carrier delayed delivery
500,E,YL2,Distr_Carrier capacity
500,E,YL3,Distr_Planning error Transp. & Logistics
500,E,YL4,Distr_Damaged product during transport
500,E,YL5,Distr_Missing Actual Delivery Date
500,E,YL6,Distr_Refusal due to delayed delivery
500,E,YL7,Distr_missing unloading window booked
500,E,YL8,Distr_Missing delivery paper
500,E,YL9,Distr_Refused by customer-even received
500,E,YM1,Mfg_Unscheduled downtime
500,E,YM2,Mfg_Waste
500,E,YO1,OM_Order Management Process
500,E,YO2,OM_Order Entry Correction
500,E,YO3,OM_Order Entry Error
500,E,YO4,OM_SKU Rotation
500,E,YP1,DRP_Insufficient product avail-ty at DCs
500,E,YP2,DRP_Sourcing Changed
500,E,YR1,RM_Purchasing Quality issue
500,E,YR2,RM_Insufficient raw materials supply
500,E,YT1,STO_Carrier delayed delivery
500,E,YT2,STO_Carrier capacity
500,E,YT3,STO_Customer refused delivery
500,E,YT4,STO_Damaged product during transport
500,E,YW1,WH_Picking Errors
500,E,YW2,WH_Damage
500,E,YW3,WH_Stock inconsistency
500,E,YW4,WH_Preparation not on time
500,E,YW5,WH_Loading errors
500,E,YW6,WH_Picking&Loading Error
500,E,YW7,WH_Damaged pallet
500,E,YW8,WH_Short best before date
500,E,YX1,X-Doc_Carrier Damaged Product
500,E,YX2,X-Doc_Carrier Missing Product
500,E,Z01,Less than Delivery Note
500,E,Z02,Over than Delivery Note
500,E,Z03,Customer has not ordered it
500,E,Z04,Delivery is out of delivery window
500,E,Z0A,A&R 1 - Freight costs reimbursment
500,E,Z0B,Customer 1 - Disagreement
500,E,Z0C,Customer 2 - Order not conform to CGV
500,E,Z0D,Customer 3 - Unplanned promotion
500,E,Z0E,Customer4-Launching/StoppingDate not met
500,E,Z0F,Haulier 1 - Wet products haulier
500,E,Z0G,Haulier 2 - Transportation capacity
500,E,Z0H,PCF 1 - Unplanned promotion
500,E,Z0I,PCF 2 - Launching/StoppingDate not met
500,E,Z0J,PCF 3 - Refusal short best-before date
500,E,Z0K,WRH 1 - Breakage
500,E,Z0L,WRH 2 - Inversion
500,E,Z0M,WRH 3 - Refusal short best-before date
500,E,Z0N,WRH 4 - Error performing cross dock
500,E,Z0O,WRH 5 - Wrong destination
500,E,Z0P,WRH 6 - Strike
500,E,Z24,Delivery to destruction company
500,E,ZA1,ALL-01: Disposition error customer
500,E,ZA2,ALL-02: Disposition error Cust. Rep.
500,E,ZA3,ALL-03: Order Entry Error
